SiteID,Start hour,Final hour,Minutes connected,Uplink VolumeUsage(bits),Downlink VolumeUsage(bits)
BAMDIG001,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0002,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0003,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0004,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0005,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0006,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0007,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0008,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0009,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0010,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0014,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CADI0015,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CBOSTEST,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COCOIFX10074659V,10/15/2021 18:50,10/15/2021 19:50,59,629213952,11726705168
COCOIFX10074660V,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COCOIFX10075306V,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COCOSIM10070442V,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COCOSIM10070443V,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COEE0009J,10/15/2021 18:50,10/15/2021 19:50,21,1894168,1694464
COEE0062J,10/15/2021 18:50,10/15/2021 19:50,60,313832,431728
COEE0092J,10/15/2021 18:50,10/15/2021 19:50,54,199624,238432
COEE0102J,10/15/2021 18:50,10/15/2021 19:50,60,15157744,1804984
COEE0108J,10/15/2021 18:50,10/15/2021 19:50,60,1571456,853736
COEE0113J,10/15/2021 18:50,10/15/2021 19:50,60,158904,155488
COEE0117J,10/15/2021 18:50,10/15/2021 19:50,60,94096,133624
COEE0376J,10/15/2021 18:50,10/15/2021 19:50,60,13476936,1094840
COEE0387J,10/15/2021 18:50,10/15/2021 19:50,60,1165384,1029824
COEE0402J,10/15/2021 18:50,10/15/2021 19:50,60,11176312,2223600
COEE0405J,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COEE0410J,10/15/2021 18:50,10/15/2021 19:50,60,130176,148464
COEE0423J,10/15/2021 18:50,10/15/2021 19:50,60,16193704,1568992
COENP001,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COENP002,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COENP003,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COEP0071J,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COEP0083J,10/15/2021 18:50,10/15/2021 19:50,60,5182296,5191128
COEP0085J,10/15/2021 18:50,10/15/2021 19:50,41,24128,24592
COEP0124J,10/15/2021 18:50,10/15/2021 19:50,60,1832904,523248
COIFXCALE01,10/15/2021 18:50,10/15/2021 19:50,60,56411384,991855640
COIFXCLAN02,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COIMOVIL01,10/15/2021 18:50,10/15/2021 19:50,31,10585272,262405504
COIMOVIL03,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COSIMS0001,10/15/2021 18:50,10/15/2021 19:50,60,70577616,565331464
COUSP004,10/15/2021 18:50,10/15/2021 19:50,60,740312,1442400
COUSP005,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COUSP006,10/15/2021 18:50,10/15/2021 19:50,0,0,0
COUSP008,10/15/2021 18:50,10/15/2021 19:50,44,451792,660816
COUSP020,10/15/2021 18:50,10/15/2021 19:50,60,10597896,59201880
CRCRRAD10082234V,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CRENT002,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CRENT003,10/15/2021 18:50,10/15/2021 19:50,60,736213992,3441954128
CRENT004,10/15/2021 18:50,10/15/2021 19:50,0,0,0
CRTSEMOVIL,10/15/2021 18:50,10/15/2021 19:50,0,0,0
EPSOMED1011,10/15/2021 18:50,10/15/2021 19:50,0,0,0
EPSOMED1012,10/15/2021 18:50,10/15/2021 19:50,0,0,0
EPSOMED1013,10/15/2021 18:50,10/15/2021 19:50,36,24960,25440
EPSOMED1014,10/15/2021 18:50,10/15/2021 19:50,0,0,0
EPSOMED1015,10/15/2021 18:50,10/15/2021 19:50,38,24960,25440
GCNTEST01,10/15/2021 18:50,10/15/2021 19:50,34,20800,21200
GRECLA001,10/15/2021 18:50,10/15/2021 19:50,60,24960,106080
GRENAP009,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRENAP010,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG001,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG002,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG003,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG004,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG005,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG006,10/15/2021 18:50,10/15/2021 19:50,22,68896,202952
GRETIG007,10/15/2021 18:50,10/15/2021 19:50,34,20800,21200
GRETIG008,10/15/2021 18:50,10/15/2021 19:50,28,28992,35720
GRETIG009,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG010,10/15/2021 18:50,10/15/2021 19:50,50,1141312,21200
GRETIG011,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG012,10/15/2021 18:50,10/15/2021 19:50,35,24960,25440
GRETIG013,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG016,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG017,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG018,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG019,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG020,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG021,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GRETIG022,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GTESTEC,10/15/2021 18:50,10/15/2021 19:50,35,24960,25440
GTGQ0007,10/15/2021 18:50,10/15/2021 19:50,0,0,0
GTGQ0008,10/15/2021 18:50,10/15/2021 19:50,60,719648,1389816
GTGQ0009,10/15/2021 18:50,10/15/2021 19:50,60,752128,1510200
GTGQ0010,10/15/2021 18:50,10/15/2021 19:50,53,24544,25016
GTGQ0011,10/15/2021 18:50,10/15/2021 19:50,0,0,0
